"ID";"Periods";"TotalPopulation_1";"Males_2";"Females_3";"TotalPopulation_4";"NeverMarried_5";"Married_6";"Widowed_7";"Divorced_8";"TotalPopulation_9";"YoungerThan20Years_10";"k_20To40Years_11";"k_40To65Years_12";"k_65To80Years_13";"k_80YearsOrOlder_14";"YoungerThan20Years_15";"k_20To40Years_16";"k_40To65Years_17";"k_65To80Years_18";"k_80YearsOrOlder_19";"TotalDemographicPressure_20";"GreenPressure_21";"GreyPressure_22";"TotalPopulation_23";"Males_24";"Females_25";"TotalPopulation_26";"PersonsWithADutchBackground_27";"WithMigrationBackground_28";"WithMigrationBackgroundRate_29";"TotalWesternMigrationBackground_30";"MiddleAndEasternEuropeanEUCountries_31";"GIPSCountriesEuropeanUnion_32";"OtherWesternBackground_33";"TotalNonWestern_34";"Morocco_35";"FormerNethAntillesAndAruba_36";"Suriname_37";"Turkey_38";"OtherNonWesternBackground_39";"TotalFirstGeneration_40";"TotalWesternFirstGeneration_41";"MiddleAndEasternEuropeanEUCountries_42";"GIPSCountriesEuropeanUnion_43";"OtherWesternBackground_44";"TotalNonWestern_45";"Morocco_46";"FormerNethAntillesAndAruba_47";"Suriname_48";"Turkey_49";"OtherNonWesternBackground_50";"TotalSecondGeneration_51";"TotalWesternSecondGeneration_52";"MiddleAndEasternEuropeanEUCountries_53";"GIPSCountriesEuropeanUnion_54";"OtherWesternBackground_55";"TotalNonWestern_56";"Morocco_57";"FormerNethAntillesAndAruba_58";"Suriname_59";"Turkey_60";"OtherNonWesternBackground_61";"TotalPrivateHouseholds_62";"OnePersonHouseholds_63";"MultiPersonHouseholds_64";"AverageHouseholdSize_65";"PopulationInInstitutionalHouseholds_66";"TotalPopulationGrowth_67";"TotalPopulationGrowthRate_68";"LiveBirths_69";"Deaths_70";"NaturalIncrease_71";"NaturalIncreaseRate_72";"Immigration_73";"EmigrationIncludingAdministrati_74";"NetMigrationIncludingAdministrativ_75";"NetMigrationIncludingAdminRate_76";"OtherCorrections_77";"PopulationDensity_78"
"0";"1950JJ00";"10026773";"4998251";"5028522";"10026773";"5284496";"4232241";"435532";"74504";"10026773";"3742499";"2951369";"2562311";"670995";"99599";"37.3";"29.4";"25.6";"6.7";"1";"81.9";"67.9";"14";"30.8";"30.3";"31.3";"10026773";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"2535";"245";"2290";"3.93";;"173507";"17.3";"229718";"75929";"153789";"15.2";"70602";"50697";"19905";"2";"-187";"309"
"1";"1951JJ00";"10200280";"5083759";"5116521";"10200280";"5354293";"4329761";"439933";"76293";"10200280";"3805617";"2985744";"2614428";"690449";"104042";"37.3";"29.3";"25.6";"6.8";"1";"82.1";"68";"14.2";"30.8";"30.3";"31.4";"10200280";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"2600";"258";"2342";"3.88";;"128063";"12.6";"228407";"77560";"150847";"14.7";"45016";"67449";"-22433";"-2.2";"-351";"315"
"2";"1952JJ00";"10328343";"5145772";"5182571";"10328343";"5384853";"4421572";"444343";"77575";"10328343";"3853988";"2999353";"2656483";"710729";"107790";"37.3";"29";"25.7";"6.9";"1";"82.6";"68.1";"14.5";"31";"30.4";"31.5";"10328343";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"2658";"270";"2388";"3.84";;"107288";"10.4";"231888";"76346";"155542";"15";"33666";"81347";"-47681";"-4.6";"-573";"319"
"3";"1953JJ00";"10435631";"5198033";"5237598";"10435631";"5409984";"4497526";"449090";"79031";"10435631";"3894738";"2996594";"2700881";"729809";"113609";"37.3";"28.7";"25.9";"7";"1.1";"83.2";"68.4";"14.8";"31.1";"30.5";"31.6";"10435631";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"2716";"282";"2434";"3.79";;"115106";"11";"227964";"80901";"147063";"14";"35449";"67080";"-31631";"-3";"-326";"322"
"4";"1954JJ00";"10550737";"5256108";"5294629";"10550737";"5443474";"4572974";"454436";"79853";"10550737";"3945330";"2994204";"2744425";"747436";"119342";"37.4";"28.4";"26";"7.1";"1.1";"83.9";"68.8";"15.1";"31.2";"30.6";"31.7";"10550737";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"2794";"297";"2497";"3.73";;"129286";"12.3";"228173";"79623";"148550";"14";"42418";"61368";"-18950";"-1.8";"-314";"325"
"5";"1955JJ00";"10680023";"5320759";"5359264";"10680023";"5481327";"4658053";"459762";"80881";"10680023";"4000883";"2997145";"2792024";"765017";"124954";"37.5";"28.1";"26.1";"7.2";"1.2";"84.5";"69.1";"15.4";"31.3";"30.7";"31.9";"10680023";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"2848";"310";"2538";"3.71";;"141638";"13.3";"229222";"81708";"147514";"13.7";"52069";"57267";"-5198";"-0.5";"-678";"329"
"6";"1956JJ00";"10821661";"5390751";"5430910";"10821661";"5526994";"4746401";"465827";"82439";"10821661";"4063634";"3013487";"2832042";"782200";"130298";"37.6";"27.8";"26.2";"7.2";"1.2";"85.1";"69.5";"15.6";"31.4";"30.8";"32";"10821661";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"2907";"323";"2584";"3.68";;"135379";"12.5";"231492";"84809";"146683";"13.5";"51756";"62737";"-10981";"-1";"-323";"333"
"7";"1957JJ00";"10957040";"5459578";"5497462";"10957040";"5567164";"4834087";"472164";"83625";"10957040";"4124465";"3027385";"2869124";"800553";"135513";"37.6";"27.6";"26.2";"7.3";"1.2";"85.8";"69.9";"15.9";"31.5";"30.9";"32.1";"10957040";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"2982";"339";"2643";"3.63";;"138686";"12.7";"233892";"82961";"150931";"13.7";"50143";"62644";"-12501";"-1.1";"256";"338"
"8";"1958JJ00";"11095726";"5529065";"5566661";"11095726";"5607936";"4924488";"478607";"84695";"11095726";"4188105";"3041247";"2906002";"818343";"142029";"37.7";"27.4";"26.2";"7.4";"1.3";"86.6";"70.4";"16.1";"31.6";"30.9";"32.2";"11095726";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"3058";"355";"2703";"3.6";;"182298";"16.4";"236859";"84491";"152368";"13.6";"67957";"55861";"12096";"1.1";"17834";"342"
"9";"1959JJ00";"11278024";"5618540";"5659484";"11278024";"5677101";"5027106";"487125";"86692";"11278024";"4270455";"3076070";"2940435";"843228";"147836";"37.9";"27.3";"26.1";"7.5";"1.3";"87.5";"71";"16.5";"31.6";"31";"32.3";"11278024";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"3126";"370";"2756";"3.57";;"139230";"12.3";"242518";"86072";"156446";"13.8";"37185";"54076";"-16891";"-1.5";"-325";"347"
